,0
symbol,NUVA
price,47.42
beta,1.37506
volAvg,812183
mktCap,2431868160
lastDiv,0.0
range,28.55-81.91
changes,0.58
companyName,NuVasive Inc
currency,USD
cik,0001142596
isin,US6707041058
cusip,670704105
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Medical Devices
website,https://www.nuvasive.com/
description,"NuVasive, Inc. engages in the development of minimally-disruptive surgical products and procedurally-integrated solutions for spine surgery. The company is headquartered in San Diego, California and currently employs 2,600 full-time employees. The firm focuses on developing minimally-disruptive surgical products and procedurally-integrated solutions for the spine surgery. Its product portfolio focuses on applications for spine fusion surgery, including biologics used to aid in the spinal fusion process. Its principal product offering includes a minimally-disruptive surgical platform called Maximum Access Surgery (MAS). The platform includes its software-driven nerve detection and avoidance systems, including NVM5, and intraoperative monitoring services and support; MaXcess, an integrated split-blade retractor system, and a range of implants and biologics. The platform combines three product categories: its MaXcess retractors, specialized implants and fixation products, and nerve monitoring systems and service offerings that collectively enable surgeons to detect and navigate around nerves, while directing customized access to the spine for implant delivery."
ceo,Mr. J. Christopher Barry
sector,Healthcare
country,US
fullTimeEmployees,2800
phone,18589091800
address,7475 Lusk Blvd
city,San Diego
state,CALIFORNIA
zip,92121
dcfDiff,6.58
dcf,55.4474
image,https://financialmodelingprep.com/image-stock/NUVA.jpg
ipoDate,2004-05-13
defaultImage,True
