,0
symbol,NVFY
price,1.925
beta,1.79475
volAvg,75010
mktCap,10677089
lastDiv,0.0
range,0.66-3.08
changes,0.025
companyName,Nova LifeStyle Inc
currency,USD
cik,0001473334
isin,US66979P2011
cusip,66979P201
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,"Furnishings, Fixtures & Appliances"
website,https://novalifestyle.com/
description,"Nova Lifestyle, Inc. designs, markets and manufactures modern home furniture. The company is headquartered in Commerce, California and currently employs 33 full-time employees. The firm operates through the design, manufacture and sale of furniture segment. The firm monitors trending and work to create design elements that are then integrated into its product lines that can be used as standalone, as well as whole room and home furnishing solutions. Through its global network, the Company also sells (through a third-party manufacturing partner) a range of bedding foundation components. Its LifeStyle brand family includes Diamond Sofa (www.diamondsofa.com), Colorful World, Giorgio Mobili and Bright Swallow International Group Limited (Bright Swallow). The firm's customers principally consist of distributors and retailers having a specific geographic coverage that deploy middle to high-end private label home furnishings."
ceo,Ms. Thanh Lam
sector,Consumer Cyclical
country,US
fullTimeEmployees,32
phone,13238889999
address,6565 E Washington Blvd
city,Commerce
state,CALIFORNIA
zip,90040
dcfDiff,
dcf,3.38006
image,https://financialmodelingprep.com/image-stock/NVFY.png
ipoDate,2014-01-17
defaultImage,False
