,0
symbol,NWBI
price,11.59
beta,0.69233
volAvg,572286
mktCap,1481213570
lastDiv,0.76
range,8.52-17.02
changes,0.065
companyName,Northwest Bancshares Inc
currency,USD
cik,0001471265
isin,US6673401039
cusip,667340103
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,http://www.snl.com/irweblinkx/corporateprofile.aspx
description,"Northwest Bancshares, Inc. is a holding company. The company is headquartered in Warren, Pennsylvania and currently employs 1,997 full-time employees. The firm's principal business consists of attracting deposits and making loans secured by various types of collateral, including real estate and other assets in the markets in which it operates. Its segments include Community Banking and Consumer Finance. The Community Banking segment includes its savings bank subsidiary, Northwest Bank, as well as the subsidiaries of the savings bank that provide similar products and services. The bank is a community-oriented institution that offers a range of personal and business deposit and loan products, including mortgage, consumer, and commercial loans, as well as trust, investment management, actuarial and benefit plan administration, and brokerage services typically offered by a full service financial institution. The Consumer Finance segment comprises Northwest Consumer Discount Company, a subsidiary of Northwest Bank."
ceo,Mr. Ronald Seiffert
sector,Financial Services
country,US
fullTimeEmployees,2084
phone,18147262140
address,100 Liberty St
city,Warren
state,PENNSYLVANIA
zip,16365
dcfDiff,-17.46
dcf,10.8849
image,https://financialmodelingprep.com/image-stock/NWBI.png
ipoDate,1994-11-07
defaultImage,False
