,0
symbol,OKE
price,31.685
beta,2.04484
volAvg,4484592
mktCap,14080718800
lastDiv,3.74
range,12.16-78.48
changes,0.915
companyName,ONEOK Inc
currency,USD
cik,0001039684
isin,US6826801036
cusip,682680103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas Midstream
website,http://www.oneok.com
description,"ONEOK, Inc. engages in gathering, processing, fractionating, transporting, storing, and marketing of natural gas. The company is headquartered in Tulsa, Oklahoma and currently employs 2,684 full-time employees. The firm owns and operates natural gas liquids (NGL) systems, and is engaged in the gathering, processing, storage and transportation of natural gas. THe firm's operations include a 38,000-mile integrated network of NGL and natural gas pipelines, processing plants, fractionators and storage facilities in the Mid-Continent, Williston, Permian and Rocky Mountain regions. The firm operates through three business segments. The Natural Gas Gathering and Processing segment provides midstream services to contracted producers in North Dakota, Montana, Wyoming, Kansas and Oklahoma. The Natural Gas Liquids segment owns and operates facilities that gather, fractionate, treat and distribute NGLs and store NGL products primarily in the Mid-Continental, Permian Basin and the Rocky Mountain regions. The Natural Gas Pipelines segment provides transportation and storage services to end users."
ceo,Mr. Terry Spencer
sector,Energy
country,US
fullTimeEmployees,2882
phone,19185887000
address,100 W 5th St
city,Tulsa
state,OKLAHOMA
zip,74103
dcfDiff,-42.41
dcf,28.4804
image,https://financialmodelingprep.com/image-stock/OKE.png
ipoDate,1954-05-24
defaultImage,False
