,0
symbol,OPCH
price,15.66
beta,1.07759
volAvg,679235
mktCap,2924646140
lastDiv,0.0
range,5.74-18.21
changes,0.04
companyName,Option Care Health Inc
currency,USD
cik,0001014739
isin,US68404L2016
cusip,68404L201
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Medical Care Facilities
website,https://optioncarehealth.com/
description,"Option Care Health, Inc., formerly BioScrip, Inc., incorporated on March 22, 1996, provides home and alternate site infusion services in the United States. The Company provides a range of infusion therapies to patients. It provides care for patients with acute and chronic conditions. Its therapeutic services include anti-infective, Option Care Women’s health, bleeding disorders, heart failure, immunoglobulin, nutrition support, chronic inflammatory disorders and specialized therapies. Its other services include hemophilia care, transplant and pediatrics."
ceo,Mr. John C. Rademacher
sector,Healthcare
country,US
fullTimeEmployees,5081
phone,13129402443
address,3000 Lakeside Dr Ste 300N
city,Bannockburn
state,ILLINOIS
zip,60015
dcfDiff,
dcf,14.1291
image,https://financialmodelingprep.com/image-stock/OPCH.jpg
ipoDate,1996-08-15
defaultImage,True
