,0
symbol,OPGN
price,2.0516
beta,-0.45472
volAvg,2675766
mktCap,40620244
lastDiv,0.0
range,0.92-5.76
changes,0.0616
companyName,OpGen Inc
currency,USD
cik,0001293818
isin,US68373L3078
cusip,68373L307
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Diagnostics & Research
website,http://opgen.com/
description,"OpGen, Inc. engages in the development of molecular information products and services for global healthcare settings. The company is headquartered in Gaithersburg, Maryland and currently employs 50 full-time employees. The firm is engaged in developing molecular information solutions to combat infectious disease in global healthcare settings, helping to guide clinicians with information about life threatening infections, managing patient outcomes, and the spread of infections caused by multidrug-resistant microorganisms. Its deoxyribonucleic acid (DNA) tests and bioinformatics address the threat of anti-biotic resistance by helping physicians and healthcare providers manage patient care decisions and protect the hospital biome through customized screening and surveillance solutions. The company is working to deliver its molecular information solution to a global network of customers and partners. The company is also working to provide precise diagnostic information powered by pathogen surveillance data. The firm's high-resolution DNA tests are marketed under the Acuitas trade name."
ceo,Mr. Evan Jones
sector,Healthcare
country,US
fullTimeEmployees,38
phone,12408131260
address,708 Quince Orchard Rd Ste 205
city,Gaithersburg
state,MARYLAND
zip,20878
dcfDiff,-1.19
dcf,3.13093
image,https://financialmodelingprep.com/image-stock/OPGN.png
ipoDate,2015-05-05
defaultImage,False
