,0
symbol,OSW
price,7.84
beta,0.0
volAvg,543104
mktCap,666150720
lastDiv,0.04
range,2.45-17.25
changes,-0.1
companyName,OneSpaWorld Holdings Ltd
currency,USD
cik,0001758488
isin,
cusip,
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Leisure
website,https://onespaworld.com/
description,"OneSpaWorld Holdings Ltd. engages in the provision of health and wellness services onboard cruse ships. The company offers a suite of health, fitness, beauty and wellness services and products onboard 161 cruise ships and at 67 destination resorts globally. Its services include traditional body, salon, and skin care services and products; specialized fitness classes and personal fitness training; pain management; and medi-spa services. The company also offers its guests access to beauty and wellness brands, including ELEMIS, Kerastase and Dysport, with many brands offered by the Company at sea. The company operates health and wellness centers under the brands of Mandara and Chavana, as well as brands curated specifically for each cruise line with cruise line and/or ship-specific service menu. Its other brand is Glow, a Mandara Spa."
ceo,Mr. Glenn J. Fusfield
sector,Consumer Cyclical
country,BS
fullTimeEmployees,
phone,3053589002
address,"Shirley House, 253 Shirley Street"
city,NASSAU
state,
zip,
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/OSW.png
ipoDate,2017-11-17
defaultImage,False
