,0
symbol,PAM
price,12.9594
beta,0.921804
volAvg,213863
mktCap,1424445440
lastDiv,0.0
range,8.72-17.37
changes,-0.0106
companyName,Pampa Energia S.A.
currency,USD
cik,0001469395
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Utilities Regulated Electric
website,http://www.pampaenergia.com
description,
ceo,Mr. Gustavo Mariani
sector,Utilities
country,Argentina
fullTimeEmployees,
phone,54 11 4344 6000
address,MaipU 1
city,Buenos Aires
state,
zip,C1084ABA
dcfDiff,273084.0
dcf,273105.0
image,https://financialmodelingprep.com/image-stock/PAM.jpg
ipoDate,
defaultImage,True
