,0
symbol,PCH
price,42.78
beta,1.3964
volAvg,420232
mktCap,2860831230
lastDiv,1.6
range,22.4-48.37
changes,0.75
companyName,PotlatchDeltic Corp
currency,USD
cik,0001338749
isin,US7376301039
cusip,737630103
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,REIT Specialty
website,https://www.potlatchdeltic.com/
description,"PotlatchDeltic Corp. operates as a real estate investment trust. The company is headquartered in Spokane, Washington and currently employs 1,418 full-time employees. The firm is also engaged in the manufacture and sale of wood products. The company operates through three segments: Resource, Wood Products and Real Estate. Its primary objectives include using its timberland investments to generate income and maximizing the long-term value of its assets. Its Resource segment manages its timberlands. Its Wood Products segment manufactures and markets lumber, plywood and residual products at mills located in Arkansas, Idaho, Michigan and Minnesota. The activities of its Real Estate segment consist primarily of the sale of non-core timberlands in the categories of higher and better use (HBU), rural recreational real estate and non-strategic properties."
ceo,Mr. Michael Covey
sector,Real Estate
country,US
fullTimeEmployees,1307
phone,15098351500
address,601 W 1st Ave Ste 1600
city,Spokane
state,WASHINGTON
zip,99201
dcfDiff,31.33
dcf,47.7698
image,https://financialmodelingprep.com/image-stock/PCH.png
ipoDate,1980-03-17
defaultImage,False
