,0
symbol,PHX
price,1.535
beta,1.15835
volAvg,161449
mktCap,34256748
lastDiv,0.11000000000000001
range,1.36-13.76
changes,-0.055
companyName,Panhandle Oil and Gas Inc
currency,USD
cik,0000315131
isin,US6984771062
cusip,698477106
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas E&P
website,http://www.panhandleoilandgas.com/
description,"Panhandle Oil & Gas, Inc. engages in the acquisition, management, and development of non-operated oil and natural gas properties, including wells located on the firm's mineral and leasehold acreage. The company is headquartered in Oklahoma City, Oklahoma and currently employs 22 full-time employees. The firm's mineral and leasehold properties are located primarily in Arkansas, New Mexico, North Dakota, Oklahoma and Texas, with properties also located in various other states. The firm's oil, natural gas liquids (NGLs) and natural gas production is primarily from wells located in Arkansas, Oklahoma and Texas. As of September 30, 2015, the Company's principal properties consisted of perpetual ownership of 255,411 net mineral acres, held principally in Arkansas, New Mexico, North Dakota, Oklahoma, Texas and six other states; leases on 19,575 net acres primarily in Oklahoma, and working interests, royalty interests, or both, in 6,195 producing oil and natural gas wells, and 65 wells in the process of being drilled or completed."
ceo,Mr. Chad Stephens
sector,Energy
country,US
fullTimeEmployees,22
phone,14059481560
address,5400 N Grand Blvd
city,Oklahoma City
state,OKLAHOMA
zip,73112
dcfDiff,24.48
dcf,1.93794
image,https://financialmodelingprep.com/image-stock/PHX.png
ipoDate,1992-02-03
defaultImage,False
