,0
symbol,PPD
price,34.48
beta,0.0
volAvg,1593738
mktCap,12056070100
lastDiv,0.0
range,10.61-37.51
changes,1.12
companyName,PPD Inc
currency,USD
cik,0001793294
isin,US69355F1021
cusip,69355F102
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Drug Manufacturers General Specialty & Generic
website,https://www.ppd.com/
description,"PPD, Inc. provides drug development services to the biopharmaceutical industry. The Company provides clinical development and laboratory services to pharmaceutical, biotechnology, medical device and government organizations, as well as other industry participants. The Company’s business segments include Clinical Development Services segment and Laboratory Services segment. Its Clinical Development Services offerings span the lifecycle of clinical product development and includes product development and consulting services, early development services, phases II-IV clinical trial management, accelerated enrollment solutions, peri- and post-approval services and medical communications. The Company’s Laboratory Services segment offers bioanalytical laboratory services, biomarker laboratory services, vaccine science services, good manufacturing practice (GMP) laboratory services and central laboratory services."
ceo,Mr. David S. Simmons
sector,Healthcare
country,US
fullTimeEmployees,23000
phone,19102510081
address,929 North Front Street
city,Wilmington
state,NORTH CAROLINA
zip,28401-3331
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/PPD.jpg
ipoDate,2020-02-06
defaultImage,True
