,0
symbol,PPSI
price,3.07
beta,0.59651
volAvg,7184483
mktCap,26788942
lastDiv,0.0
range,0.9-9.43
changes,0.28
companyName,Pioneer Power Solutions Inc
currency,USD
cik,0001449792
isin,US7238363003
cusip,723836300
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Electrical Equipment & Parts
website,https://www.pioneerpowersolutions.com/
description,"Pioneer Power Solutions, Inc. engages in the manufacture, sale and distribution of on-site power generation equipment for applications in the industrial, commercial and backup power markets. The company is headquartered in Fort Lee, New Jersey and currently employs 365 full-time employees. The firm's principal products and services include custom low and medium voltage switchgear and engine-generator sets and controls. The firm operates through two segments: Transmission & Distribution Solutions (T&D Solutions) and Critical Power Solutions (Critical Power). Its Critical Power business provides customers with power generation equipment, paralleling switchgear, related electrical distribution infrastructure, and a data collection and monitoring platform. These solutions are marketed by its operations in Minneapolis, doing business under the Pioneer Critical Power Inc. and Titan Energy Systems Inc. brand names."
ceo,Mr. Nathan Mazurek
sector,Industrials
country,US
fullTimeEmployees,95
phone,12128670700
address,400 Kelby St Ste 12
city,Fort Lee
state,NEW JERSEY
zip,07024
dcfDiff,-5.23
dcf,4.06121
image,https://financialmodelingprep.com/image-stock/PPSI.png
ipoDate,2013-09-19
defaultImage,False
