,0
symbol,PRIM
price,22.66
beta,1.19159
volAvg,322327
mktCap,1089862140
lastDiv,0.24
range,9.42-23.53
changes,0.48
companyName,Primoris Services Corp
currency,USD
cik,0001361538
isin,US74164F1030
cusip,74164F103
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Engineering & Construction
website,http://www.primoriscorp.com/
description,"Primoris Services Corp. is a holding company, which engages in the provision of construction, fabrication, maintenance, replacement, and engineering services. The company is headquartered in Dallas, Texas and currently employs 1,600 full-time employees. The firm holds various subsidiaries, through which it operates as a specialty contractor and infrastructure company. The firm provides a range of construction, fabrication, maintenance, replacement, water and wastewater, and engineering services to public utilities, petrochemical companies, energy companies, municipalities, state departments of transportation and other customers. The company operates in three segments: the West Construction Services segment (West segment), the East Construction Services segment (East segment) and the Energy segment. The firm installs, replaces, repairs and rehabilitates natural gas, refined product, water and wastewater pipeline systems; large diameter gas and liquid pipeline facilities, and heavy civil projects, earthwork and site development."
ceo,Mr. Thomas McCormick
sector,Industrials
country,US
fullTimeEmployees,1600
phone,12147405600
address,2300 N Field St Ste 1900
city,Dallas
state,TEXAS
zip,75201
dcfDiff,20.33
dcf,22.0849
image,https://financialmodelingprep.com/image-stock/PRIM.jpg
ipoDate,2006-10-04
defaultImage,True
