,0
symbol,PTON
price,100.63
beta,0.0
volAvg,23615313
mktCap,29437495300
lastDiv,0.0
range,17.7-139.75
changes,-8.09
companyName,Peloton Interactive Inc
currency,USD
cik,0001639825
isin,US70614W1009
cusip,70614W100
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Leisure
website,https://www.onepeloton.com/
description,"Peloton Interactive, Inc. operates at-home fitness platform for live and on-demand indoor cycling classes. The company is headquartered in New York, New York and currently employs 1,977 full-time employees. The firm provides connected, technology-enabled fitness and the streaming of instructor-led boutique classes to its members. The firm operates and manages its business in three reportable segments: connected fitness product segment, subscription segment, and other segment. Its connected fitness product segment consists of its Bike and Tread and related accessories. Its other segment consists of Peloton branded apparels."
ceo,Mr. John Paul Foley
sector,Consumer Cyclical
country,US
fullTimeEmployees,1977
phone,18666799129
address,125 W 25th St Fl 11
city,New York City
state,NEW YORK
zip,10001
dcfDiff,
dcf,128.987
image,https://financialmodelingprep.com/image-stock/PTON.png
ipoDate,2019-09-26
defaultImage,False
