,0
symbol,QTNT
price,5.78
beta,2.39372
volAvg,815229
mktCap,583907200
lastDiv,0.0
range,2.4-10.38
changes,0.37
companyName,Quotient Ltd
currency,USD
cik,0001596946
isin,JE00BLG2ZQ72
cusip,G73268107
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Diagnostics & Research
website,http://www.quotientbd.com
description,"Quotient Ltd. is a commercial-stage diagnostics company. The firm focuses on blood grouping and donor disease screening, which is referred to as transfusion diagnostics. The company is engaged in developing, manufacturing and commercializing conventional reagent products used for blood grouping within the global transfusion diagnostics market. The company is engaged in developing MosaiQ, which is its technology platform. The firm develops, manufactures and commercializes the products, including antisera products, reagent red blood cells, whole blood controls and ancillary products. Its antisera products contain antibodies used to identify blood group antigens. Its antisera products are monoclonal antibodies manufactured from master cell lines it owns. Its reagent red blood cells products are composed of human red blood cells formulated to enable the identification of blood group antibodies. The firm develops, manufactures and sells conventional reagent products to original equipment manufacturers (OEMs)."
ceo,Mr. Franz Walt
sector,Healthcare
country,CH
fullTimeEmployees,418
phone,41227169800
address,"Jtc House, 28 Esplanade"
city,
state,VAUD
zip,1262
dcfDiff,
dcf,4.63478
image,https://financialmodelingprep.com/image-stock/QTNT.png
ipoDate,2014-04-16
defaultImage,False
