,0
symbol,RAD
price,12.0499
beta,0.60633
volAvg,3332792
mktCap,656132740
lastDiv,0.0
range,7.49-23.88
changes,0.3799
companyName,Rite Aid Corp
currency,USD
cik,0000084129
isin,US7677548726
cusip,767754872
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Pharmaceutical Retailers
website,https://www.riteaid.com/
description,"Rite Aid Corp. engages in the ownership and management of retail drug stores. The company is headquartered in Camp Hill, Pennsylvania and currently employs 53,100 full-time employees. The firm's segments include Retail Pharmacy and Pharmacy Services. The firm operates under The Rite Aid name. The company operates approximately 4,560 stores in over 30 states across the country and in the District of Columbia. The firm's Retail Pharmacy segment consists of Rite Aid stores, RediClinic and Health Dialog. The company sells brand and generic prescription drugs, as well as an assortment of front-end products, including health and beauty aids, personal care products, seasonal merchandise, and a private brand product line. Its front-end products include over-the-counter medications, health and beauty aids, personal care items, cosmetics, household items, food and beverages, greeting cards, seasonal merchandise and numerous other everyday and convenience products. The firm's Pharmacy Services segment consists of EnvisionRx, which provides a range of pharmacy benefit services."
ceo,Ms. Heyward Donigan
sector,Healthcare
country,US
fullTimeEmployees,50000
phone,17177612633
address,30 Hunter Ln
city,Camp Hill
state,PENNSYLVANIA
zip,17011
dcfDiff,30.76
dcf,13.639
image,https://financialmodelingprep.com/image-stock/RAD.png
ipoDate,1981-05-22
defaultImage,False
