,0
symbol,REED
price,0.7799
beta,1.65628
volAvg,245740
mktCap,49108432
lastDiv,0.0
range,0.36-1.64
changes,-0.0091
companyName,Reed's Inc
currency,USD
cik,0001140215
isin,US7583381071
cusip,758338107
exchange,NYSE American
exchangeShortName,NASDAQ
industry,Beverages Non-Alcoholic
website,https://www.drinkreeds.com/
description,"Reed's, Inc. engages in the provision of carbonated and non-carbonated beverages. The company is headquartered in Norwalk, Connecticut and currently employs 50 full-time employees. The firm manufactures, licenses, markets and sells several product lines, such as Reed's Ginger Brews; Virgil's Root Beer, Cream Sodas, Dr. Better and Real Cola, including ZERO diet sodas; Culture Club Kombucha; China Colas; Reed's Ginger candy and ice creams, and Sonoma Sparkler and other juice based products. The firm sells its products throughout the United States and in select international markets. The company sells products through a network of natural, gourmet and beer distributors and direct to certain large national retailers. The firm also has private label business. The firm manufactures and sells beverages and candies or other ginger related products. The firm produces carbonated beverages in multiple facilities, including a facility in Los Angeles, California, known as The Brewery."
ceo,Mr. Norman Snyder
sector,Consumer Defensive
country,US
fullTimeEmployees,28
phone,12038900557
address,201 MERRITT 7 CORPORATE PARK
city,Norwalk
state,CONNECTICUT
zip,06851
dcfDiff,-6.79
dcf,1.06604
image,https://financialmodelingprep.com/image-stock/REED.png
ipoDate,2006-12-29
defaultImage,False
