,0
symbol,REI
price,0.5032
beta,2.63912
volAvg,1358690
mktCap,41095640
lastDiv,0.0
range,0.43-3.31
changes,-0.0073
companyName,Ring Energy Inc
currency,USD
cik,0001384195
isin,US76680V1089
cusip,76680V108
exchange,NYSE American
exchangeShortName,AMEX
industry,Oil & Gas E&P
website,https://ringenergy.com/
description,"Ring Energy, Inc. is an oil and gas exploration company which engages in oil and natural gas acquisition, exploration, development and production activities. The company is headquartered in Tulsa, Oklahoma and currently employs 42 full-time employees. The firm's exploration and production interests are focused on Texas and Kansas. Its operations are all oil and gas exploration and production related activities in the United States. The firm's primary drilling operations target the Central Basin Platform in Andrews County and Gaines County, Texas, and the Delaware Basin in Reeves County and Culberson County, Texas. As of December 31, 2016, Ring had 53,582 gross (32,663 net) acres in Andrews and Gaines counties and 20,794 gross (20,490 net) acres in Reeves and Culberson counties. The firm also had 14,647 gross (14,549 net) acres in Kansas, as of December 31, 2016. As of December 31, 2016, Ring's proved reserves were approximately 27.7 million barrel of oil equivalent (BOE)."
ceo,Mr. Kelly Hoffman
sector,Energy
country,US
fullTimeEmployees,58
phone,19184993880
address,6555 S Lewis Ave
city,Tulsa
state,OKLAHOMA
zip,79701
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/REI.jpg
ipoDate,2007-03-28
defaultImage,True
