,0
symbol,RGR
price,64.515
beta,0.48115
volAvg,334332
mktCap,1128748030
lastDiv,6.62
range,38.44-90.74
changes,-0.995
companyName,Sturm Ruger & Company Inc
currency,USD
cik,0000095029
isin,US8641591081
cusip,864159108
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Aerospace & Defense
website,https://www.ruger.com/index.html
description,"Sturm, Ruger & Co., Inc. engages in the design, manufacture, and sale of firearms to domestic customers. The company is headquartered in Southport, Connecticut and currently employs 1,830 full-time employees. The firm operates through two segments: firearms and castings. The firearms segment manufactures and sells rifles, pistols, and revolvers principally to a range of federally licensed, independent wholesale distributors primarily located in the United States. The castings segment manufactures and sells steel investment castings and metal injection molding (MIM) parts. The firm's design and manufacturing operations are located in the United States. The firm primarily offers products in three industry product categories: rifles, pistols, and revolvers. The firm's firearms are sold through independent wholesale distributors, principally to the commercial sporting market. The firm manufactures firearm products under the Ruger name. The firm also manufactures and sells accessories and replacement parts for its firearms."
ceo,Mr. Christopher Killoy
sector,Industrials
country,US
fullTimeEmployees,1580
phone,12032597843
address,1 Lacey Pl
city,Southport
state,CONNECTICUT
zip,06890
dcfDiff,
dcf,71.6235
image,https://financialmodelingprep.com/image-stock/RGR.png
ipoDate,1980-03-18
defaultImage,False
