,0
symbol,RMBL
price,34.4
beta,3.92532
volAvg,202806
mktCap,76891568
lastDiv,0.0
range,3.0-46.9
changes,-2.13
companyName,RumbleON Inc
currency,USD
cik,0001596961
isin,US7813863054
cusip,781386305
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Internet Retail
website,https://go.rumbleon.com/
description,"RumbleOn, Inc., through its online marketplace platform, makes cash offers for the purchase of pre-owned vehicles. The Company also offers an inventory of pre-owned vehicles for sale along with third-party financing and associated products. It utilizes regional partners in the acquisition of pre-owned vehicles to provide inspection, reconditioning and distribution services. The Company operates through two segments: vehicle distribution and vehicle logistics and transportation services. Its vehicle distribution segment consists of the distribution of powersports and automotive. Its vehicle logistics and transportation service segment provide nationwide automotive transportation services between dealerships and auctions. It operates a platform that facilitates the ability of all participants in the supply chain, including the Company, other dealers and consumers to buy-sell-trade-finance-transport pre-owned vehicles."
ceo,Mr. Marshall Chesrown
sector,Consumer Cyclical
country,US
fullTimeEmployees,300
phone,12147719952
address,901 W. WALNUT HILL LANE
city,Irving
state,TEXAS
zip,75019
dcfDiff,-4.65
dcf,36.9646
image,https://financialmodelingprep.com/image-stock/RMBL.png
ipoDate,2014-07-02
defaultImage,False
