,0
symbol,RRC
price,7.18
beta,3.01126
volAvg,5673770
mktCap,1840470780
lastDiv,0.02
range,1.61-9.41
changes,0.43
companyName,Range Resources Corp
currency,USD
cik,0000315852
isin,US75281A1097
cusip,75281A109
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas E&P
website,http://www.rangeresources.com
description,"Range Resources Corp. engages in the exploration, development, and acquisition of natural gas and oil properties in the Appalachian and Midcontinent regions. The company is headquartered in Fort Worth, Texas and currently employs 796 full-time employees. The firm is engaged in the exploration and production of natural gas, NGLs and oil in the United States. The company is engaged in the exploration, development and acquisition of natural gas and crude oil properties located primarily in the Appalachian and North Louisiana regions of the United States. Its principal areas of operation are the Marcellus Shale of Pennsylvania and the Lower Cotton Valley formation of North Louisiana. Its properties consist of interests in developed and undeveloped natural gas and oil leases. Its properties in the Appalachian region are located in the Appalachian Basin in the northeastern United States, predominantly in Pennsylvania. The firm's other operations include drilling, production and field operations in the Texas Panhandle, as well as in the Anadarko Basin of Western Oklahoma and the Nemaha Uplift of Northern Oklahoma and Kansas."
ceo,Mr. Jeffrey Ventura
sector,Energy
country,US
fullTimeEmployees,655
phone,18178702601
address,100 Throckmorton St Ste 1200
city,Fort Worth
state,TEXAS
zip,76102
dcfDiff,243.42
dcf,8.6622
image,https://financialmodelingprep.com/image-stock/RRC.png
ipoDate,1996-10-11
defaultImage,False
