,0
symbol,RUHN
price,2.42
beta,0.0
volAvg,174275
mktCap,203742944
lastDiv,0.0
range,2.26-9.6
changes,-0.01
companyName,Ruhnn Holding Ltd
currency,CNY
cik,0001753268
isin,US7813141097
cusip,781314109
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Internet Retail
website,http://www.ruhnn.com/
description,"Ruhnn Holding Ltd. engages in the key opinion leader (KOL) cultivation and incubation platforms. The company is headquartered in Hangzhou, Zhejiang and currently employs 836 full-time employees. Its main business is online sales of KOL consumer products to fans through their various social networks. Besides, the Company is also engaged in the provision of advertising services. The firm mainly conducts its businesses in domestic market."
ceo,Mr. Lei Sun
sector,Consumer Cyclical
country,CN
fullTimeEmployees,836
phone,8657128825222
address,"Floor 8-12, Building No. 2, Hangzhou Lvgu Innovation Center"
city,Hangzhou
state,ZHEJIANG
zip,
dcfDiff,
dcf,2.80974
image,https://financialmodelingprep.com/image-stock/RUHN.png
ipoDate,2019-04-03
defaultImage,False
