,0
symbol,RYAAY
price,103.585
beta,0.588897
volAvg,577890
mktCap,19614234600
lastDiv,0.0
range,44.44-109.65
changes,-3.095
companyName,Ryanair Holdings plc American Depositary Shares each representing five Ordinary Shares
currency,USD
cik,
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Airlines
website,http://www.ryanair.com
description,
ceo,Mr. Michael O'Leary
sector,Industrials
country,Ireland
fullTimeEmployees,19000
phone,353 1 945 1212
address,Dublin Office
city,Swords
state,
zip,K67 NY94
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/RYAAY.jpg
ipoDate,
defaultImage,True
