,0
symbol,RYN
price,27.045
beta,0.99397
volAvg,446653
mktCap,3692129280
lastDiv,1.08
range,15.96-33.1
changes,0.215
companyName,Rayonier Inc
currency,USD
cik,0000052827
isin,US7549071030
cusip,754907103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Specialty
website,https://www.rayonier.com/
description,"Rayonier, Inc. is a real estate investment trust, which engages in investment in timberlands. The company is headquartered in Yulee, Florida and currently employs 349 full-time employees. The firm operates through five segments: Southern Timber, Pacific Northwest Timber, New Zealand Timber, Real Estate and Trading. The Southern Timber, Pacific Northwest Timber and New Zealand Timber segments reflect all activities related to the harvesting of timber and other activities, such as recreational leases, within each respective geography. Its New Zealand Timber segment also reflects land sales that occur within its New Zealand portfolio. Its Real Estate segment reflects the United States land sales. Its Trading segment reflects the log trading activities that support its New Zealand operations. The company owned, leased or managed approximately 2.7 million acres of timberlands, as of December 31, 2016. The company is engaged in the trading of logs from New Zealand and Australia to Pacific Rim markets."
ceo,Mr. David Nunes
sector,Real Estate
country,US
fullTimeEmployees,353
phone,19043579100
address,1 Rayonier Way
city,Yulee
state,FLORIDA
zip,32097
dcfDiff,
dcf,28.2304
image,https://financialmodelingprep.com/image-stock/RYN.jpg
ipoDate,1994-02-17
defaultImage,True
