,0
symbol,SAN
price,2.675
beta,1.444891
volAvg,9271949
mktCap,47517360000
lastDiv,0.249
range,1.78-4.32
changes,0.125
companyName,Banco Santander S.A. Sponsored ADR (Spain)
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Banks Diversified
website,http://www.santander.com
description,
ceo,Mr. Jose Antonio Alvarez Alvarez
sector,Financial Services
country,Spain
fullTimeEmployees,194948
phone,34 902 11 22 11
address,Santander Group City
city,Madrid
state,
zip,28660
dcfDiff,-4.93
dcf,0.0
image,https://financialmodelingprep.com/image-stock/SAN.jpg
ipoDate,
defaultImage,True
