,0
symbol,SBUX
price,95.21
beta,0.78278
volAvg,7387555
mktCap,111709889000
lastDiv,1.68
range,50.02-97.65
changes,1.68
companyName,Starbucks Corp
currency,USD
cik,0000829224
isin,US8552441094
cusip,855244109
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Restaurants
website,https://www.starbucks.com/
description,"Starbucks Corp. engages in the production, marketing, and retailing of specialty coffee. The company is headquartered in Seattle, Washington and currently employs 346,000 full-time employees. As of October 2, 2016, the Company operated in 75 countries. The firm operates through four segments: Americas, which is inclusive of the United States, Canada, and Latin America; China/Asia Pacific (CAP); Europe, Middle East, and Africa (EMEA), and Channel Development. The firm's Americas, CAP, and EMEA segments include both company-operated and licensed stores. Its Channel Development segment includes roasted whole bean and ground coffees, Tazo teas, Starbucks- and Tazo-branded single-serve products, a range of ready-to-drink beverages, such as Frappuccino, Starbucks Doubleshot and Starbucks Refreshers beverages and other branded products sold across the world through channels, such as grocery stores, warehouse clubs, specialty retailers, convenience stores and the United States foodservice accounts."
ceo,Mr. Kevin Johnson
sector,Consumer Cyclical
country,US
fullTimeEmployees,346000
phone,12064471575
address,2401 Utah Ave S
city,Seattle
state,WASHINGTON
zip,98134
dcfDiff,128.6
dcf,90.4486
image,https://financialmodelingprep.com/image-stock/SBUX.png
ipoDate,1992-06-01
defaultImage,False
