,0
symbol,SFE
price,6.2
beta,1.38455
volAvg,73627
mktCap,129537216
lastDiv,1.0
range,4.43-12.43
changes,-0.12
companyName,Safeguard Scientifics Inc
currency,USD
cik,0000086115
isin,US7864492076
cusip,786449207
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,http://www.safeguard.com/
description,"Safeguard Scientifics, Inc. engages in the provision capital to technology-driven businesses in healthcare, financial services, and digital media. The company is headquartered in Wayne, Pennsylvania and currently employs 33 full-time employees. The firm holds interest in companies, which it refers to as partner companies. As of December 31, 2016, the Company held interests in 29 non-consolidated partner companies. The firm offers operational and management support to each of its partner companies. In addition to management and operational support, the Company offers ongoing planning and development assessment. The company provides mentoring, advice and guidance to develop partner company management. The firm serves on the boards of directors of its partner companies, working with them to develop and implement strategic and operating plans. The company measures and monitors achievement of these plans through regular review of operational and financial performance measurements."
ceo,Mr. Brian Sisko
sector,Financial Services
country,US
fullTimeEmployees,33
phone,16102930600
address,170 N Radnor Chester Rd Ste 200
city,Wayne
state,PENNSYLVANIA
zip,
dcfDiff,-11.02
dcf,7.24283
image,https://financialmodelingprep.com/image-stock/SFE.png
ipoDate,1980-03-17
defaultImage,False
