,0
symbol,SHBI
price,12.76
beta,0.73535
volAvg,43581
mktCap,153560224
lastDiv,0.6
range,7.63-17.9
changes,0.34
companyName,Shore Bancshares Inc
currency,USD
cik,0001035092
isin,US8251071051
cusip,825107105
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.shorebancshares.com
description,"Shore Bancshares, Inc. is a financial holding company, which engages in the provision of commercial banking products and services to individuals and businesses. The company is headquartered in Easton, Maryland and currently employs 278 full-time employees. The firm acts as the parent company to several financial institution and entities. The firm is engaged in community banking activities. Its Community Banking segment provides services to consumers and small businesses on the Eastern Shore of Maryland and in Delaware. The firm is engaged in the banking business through CNB, a Maryland commercial bank with trust powers and The Talbot Bank of Easton, a Maryland commercial bank (the Banks). The Banks provide a range of commercial and consumer banking products and services to individuals, businesses, and other organizations in Kent County, Queen Anne's County, Caroline County, Talbot County and Dorchester County in Maryland and in Kent County, Delaware."
ceo,Mr. Lloyd Beatty
sector,Financial Services
country,US
fullTimeEmployees,284
phone,14108221400
address,18 E Dover St
city,Easton
state,MARYLAND
zip,21601
dcfDiff,-15.1
dcf,19.1154
image,https://financialmodelingprep.com/image-stock/SHBI.jpg
ipoDate,2001-04-09
defaultImage,True
