,0
symbol,SIC
price,7.045
beta,0.0
volAvg,73800
mktCap,179323424
lastDiv,0.0
range,1.25-10.83
changes,0.045
companyName,Select Interior Concepts Inc
currency,USD
cik,0001723866
isin,US8161203075
cusip,816120307
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Residential Construction
website,https://www.selectinteriorconcepts.com/
description,"Select Interior Concepts, Inc. is a holding company, which engages in interior selections, merchandising, and complex supply chain management with a focus on the residential construction market. The company is headquartered in Anaheim, California and currently employs 1,360 full-time employees. Through its Residential Design Services (RDS) segment, the Company serves national and regional homebuilders by providing an integrated, outsourced solution for designing, consultation, sourcing, distribution and installation needs of their homebuyer customers. The firm has 35 design centers located across the United States. The firm also provides interior products and finishing services, including flooring, countertops, wall tile, window treatments, shower enclosures, and related interior items, primarily for newly constructed homes. Its Architectural Surface Group (ASG) segment imports and distributes natural and engineered stone slabs."
ceo,
sector,Consumer Cyclical
country,US
fullTimeEmployees,1850
phone,18887014737
address,4900 E Hunter Ave
city,Anaheim
state,CALIFORNIA
zip,
dcfDiff,
dcf,7.24668
image,https://financialmodelingprep.com/image-stock/SIC.jpg
ipoDate,2017-12-06
defaultImage,True
