,0
symbol,SINO
price,2.48
beta,1.57531
volAvg,330341
mktCap,11008199
lastDiv,0.0
range,1.37-4.9
changes,0.06
companyName,Sino-Global Shipping America Ltd
currency,USD
cik,0001422892
isin,US82935V2088
cusip,82935V208
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Integrated Freight & Logistics
website,http://www.sino-global.net/
description,"Sino-Global Shipping America, Ltd. is a non-asset-based global shipping and freight logistic integrated solution provider. The Company provides solutions and value added services to its customers in the shipping and freight logistic chain sector. The Company's segments include Shipping Agency and Ship Management Services; Shipping & Chartering Services, and Inland Transportation Management Services. The Company conducts its business primarily through its subsidiaries in China (including Hong Kong), Australia, Canada, and the United States (New York and Los Angeles). The Company provides its shipping agency services in the People's Republic of China through Sino-Global Shipping Agency Ltd. (Sino-China), which holds the licenses and permits to operate local shipping agency services in the People's Republic of China. The Company's inland transportation management services are operated by its subsidiaries in China (including Hong Kong) and the United States."
ceo,Mr. Lei Cao
sector,Industrials
country,US
fullTimeEmployees,26
phone,17188881814
address,1044 Northern Blvd
city,Roslyn
state,NEW YORK
zip,11576
dcfDiff,-0.83
dcf,1.76795
image,https://financialmodelingprep.com/image-stock/SINO.jpg
ipoDate,2008-05-21
defaultImage,True
