,0
symbol,SKM
price,23.01
beta,0.062745
volAvg,269686
mktCap,15253282800
lastDiv,0.904024
range,14.07-23.8
changes,0.22
companyName,SK Telecom Co. Ltd.
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Telecom Services
website,http://www.sktelecom.com
description,
ceo,Mr. Jung-ho Park
sector,Communication Services
country,South Korea
fullTimeEmployees,
phone,82 2 6100 2114
address,SK T-Tower
city,Seoul
state,
zip,04539
dcfDiff,753164.0
dcf,753188.0
image,https://financialmodelingprep.com/image-stock/SKM.jpg
ipoDate,
defaultImage,True
