,0
symbol,SLGG
price,1.915
beta,0.0
volAvg,508801
mktCap,29649752
lastDiv,0.0
range,1.3-6.5
changes,0.005
companyName,"Super League Gaming, Inc."
currency,USD
cik,0001621672
isin,US86804F2020
cusip,86804F202
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Electronic Gaming & Multimedia
website,https://www.superleague.com/
description,"Super League Gaming, Inc. engages in the provision of an amateur E-sports community and cloud-based content platform gaming services. The company is headquartered in Santa Monica, California and currently employs 46 full-time employees. The firm is providing accessible esports leagues for amateur gamers that take place both online and through in-person gaming arenas. The Company’s cloud-based platform provides amateur gamers a modernized way to connect, play and view games in real-time. The firm through its platform also connects a network of gamers, venues, and brand partners to enable local, social, and competitive esports that could be broadcasted through its platform. The firm operates leagues in partnership with the publishers of top-tier games, such as League of Legends, Minecraft and Clash Royale, with each Super League season culminating in its signature nationwide City Champs tournaments."
ceo,Ms. Ann Hand
sector,Communication Services
country,US
fullTimeEmployees,55
phone,18022942754
address,2906 Colorado Ave
city,Santa Monica
state,CALIFORNIA
zip,90404
dcfDiff,
dcf,2.78938
image,https://financialmodelingprep.com/image-stock/SLGG.jpg
ipoDate,2019-02-26
defaultImage,True
