,0
symbol,SNDL
price,0.287
beta,0.0
volAvg,56704981
mktCap,72216952
lastDiv,0.0
range,0.138-3.88
changes,0.0033
companyName,Sundial Growers Inc
currency,CAD
cik,0001766600
isin,CA86730L1094
cusip,86730L109
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Drug Manufacturers General Specialty & Generic
website,https://www.sundialcannabis.com/
description,"Sundial Growers, Inc. engages in the production and distribution of flower, pre-rolls and vapes. The company is headquartered in Calgary, Alberta and currently employs 381 full-time employees. The firm is marketing its adult-use products under Sundial Cannabis brand and intend to offer products under its Top Leaf and BC Weed Co. brand. The firm sells Sundial Cannabis-branded dried flower cannabis products in a range of formats, such as pre-rolls, oils, capsules and sublingual. The company also seeks to offer edibles, beverages, including dried tea products, vape products, concentrates, extracts and topical."
ceo,Mr. Zachary Ryan George IV
sector,Healthcare
country,CA
fullTimeEmployees,868
phone,14039485227
address,919 11 Ave SW Suite 200
city,Calgary
state,ALBERTA
zip,T2R 1P3
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/SNDL.jpg
ipoDate,2019-08-01
defaultImage,True
