,0
symbol,SNFCA
price,7.03
beta,0.78383
volAvg,45441
mktCap,134339088
lastDiv,0.0
range,3.76-7.54
changes,0.23
companyName,Security National Financial Corp
currency,USD
cik,0000318673
isin,US8147853092
cusip,814785309
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Credit Services
website,https://www.securitynational.com/
description,"Security National Financial Corp. is a holding company for Security National Life Insurance Co. The company is headquartered in Salt Lake City, Utah and currently employs 1,237 full-time employees. The firm operates through three segments: life insurance, cemetery and mortuary, and mortgage loans. The life insurance segment is engaged in the business of selling and servicing selected lines of life insurance, annuity products, and accident and health insurance. The cemetery and mortuary segment consists of approximately seven mortuaries and five cemeteries in the state of Utah and a cemetery in the state of California. The mortgage loan segment originates and underwrites or otherwise purchases residential and commercial loans for new construction, existing homes and real estate projects. The firm is also engaged in pre-need selling of funeral, cemetery, mortuary and cremation services through its Utah and California operations. The company also sells pre-need funeral, cemetery and cremation services."
ceo,Mr. Scott Quist
sector,Financial Services
country,US
fullTimeEmployees,1125
phone,18012641060
address,PO Box 57220
city,Salt Lake City
state,UTAH
zip,84020
dcfDiff,
dcf,14.1783
image,https://financialmodelingprep.com/image-stock/SNFCA.png
ipoDate,1987-08-12
defaultImage,False
