,0
symbol,SNR
price,4.695
beta,1.8621
volAvg,495898
mktCap,389796768
lastDiv,0.39
range,1.72-8.35
changes,0.215
companyName,New Senior Investment Group Inc
currency,USD
cik,0001610114
isin,US6486911034
cusip,648691103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Residential
website,https://www.newseniorinv.com/
description,"New Senior Investment Group, Inc. engages in investing in private pay senior housing properties. The company is headquartered in New York, New York. The firm operates through two segments: Managed Properties and Triple Net Lease Properties. As of December 31, 2016, the Company owned a diversified portfolio of 152 primarily private pay senior housing properties located across 37 states. Under its Managed Properties segment, the Company invests in senior housing properties throughout the United States and engages property managers to manage those senior housing properties. As of December 31, 2016, the Company owned 94 properties under property management agreements with the property managers. Under its Triple Net Lease Properties segment, the Company invests in senior housing and healthcare properties throughout the United States, and leases those properties to healthcare operating companies under triple net leases."
ceo,Ms. Susan Givens
sector,Real Estate
country,US
fullTimeEmployees,19
phone,16468223700
address,55 W 46th St Ste 2204
city,New York City
state,NEW YORK
zip,10036
dcfDiff,
dcf,4.44187
image,https://financialmodelingprep.com/image-stock/SNR.png
ipoDate,2014-10-27
defaultImage,False
