,0
symbol,SPE
price,12.3705
beta,1.15809
volAvg,18695
mktCap,105161248
lastDiv,1.3439999999999999
range,7.5-15.0
changes,0.2205
companyName,Special Opportunities Fund Inc
currency,USD
cik,
isin,US84741T1043
cusip,84741T104
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,http://www.specialopportunitiesfundinc.com/
description,"Special Opportunities Fund, Inc. (the Fund) is a closed-end diversified management investment company. The Fund’s investment objective is total return. It is focused on investing in other closed-end investment companies, and private and publicly-issued United States and foreign securities. The Fund also invests in auction rate preferred securities, business development companies, special purpose acquisition vehicles, liquidation claims, warrants and rights. Bulldog Investors, LLC is the investment advisor of the Fund. U.S. Bancorp Fund Services, LLC serves as the Fund's administrator."
ceo,
sector,Financial Services
country,US
fullTimeEmployees,
phone,14147654319
address,"C/O Us Bancorp Fund Services, Llc, 615 East Michigan Avenue"
city,Milwaukee
state,WISCONSIN
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/SPE.jpg
ipoDate,1993-05-28
defaultImage,True
