,0
symbol,SSD
price,92.325
beta,1.31759
volAvg,384369
mktCap,4008889860
lastDiv,0.92
range,47.02-104.34
changes,1.805
companyName,Simpson Manufacturing Co Inc
currency,USD
cik,0000920371
isin,US8290731053
cusip,829073105
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Building Products & Equipment
website,http://www.simpsonmfg.com
description,"Simpson Manufacturing Co., Inc. manufactures and markets building and construction solutions. The company is headquartered in Pleasanton, California and currently employs 3,135 full-time employees. The firm's segments are North America, Europe, Asia/Pacific, and Administrative & All Other. The North America segment includes operations primarily in the United States and Canada. The Europe segment includes operations primarily in France, the United Kingdom, Germany, Denmark, Switzerland, Portugal, Poland, the Netherlands and Belgium. The Asia/Pacific segment includes operations primarily in Australia, New Zealand, South Africa, China, Taiwan and Vietnam. The firm manufactures concrete construction products used for concrete, masonry, steel construction and for concrete repair, protection and strengthening, including adhesives, chemicals and mechanical anchors."
ceo,Ms. Karen Colonias
sector,Industrials
country,US
fullTimeEmployees,3337
phone,19255609000
address,5956 W LAS POSITAS BLVD
city,Pleasanton
state,CALIFORNIA
zip,94588
dcfDiff,
dcf,100.635
image,https://financialmodelingprep.com/image-stock/SSD.png
ipoDate,1994-05-26
defaultImage,False
