,0
symbol,SSPK
price,10.0801
beta,0.0
volAvg,80100
mktCap,315003136
lastDiv,0.0
range,9.51-10.57
changes,-0.0199
companyName,Silver Spike Acquisition Corp
currency,USD
cik,0001779474
isin,KYG8136L1068
cusip,G8136L106
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Shell Companies
website,http://silverspikecap.com/
description,"Silver Spike Acquisition Corp is a blank check company. The Company is formed for the purpose of effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. It intends to focus on the cannabis and related health and wellness industries. It also intends to focus on non-plant touching businesses that support the functioning of cannabis activity but are not directly related to cultivation, manufacturing, processing, branding, transportation, distribution, storage or sale of cannabis and cannabis-based products. The Company has not conducted any operations and has generated no revenues."
ceo,Mr. Scott Gordon
sector,Financial Services
country,US
fullTimeEmployees,
phone,12129054923
address,"600 Madison Ave, 17th Floor"
city,New York City
state,NEW YORK
zip,10022
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/SSPK.jpg
ipoDate,2019-08-08
defaultImage,True
