,0
symbol,SSP
price,12.24
beta,1.65052
volAvg,523253
mktCap,998779070
lastDiv,0.2
range,5.36-16.93
changes,0.37
companyName,E. W. Scripps Co
currency,USD
cik,0000832428
isin,US8110544025
cusip,811054402
exchange,New York Stock Exchange
exchangeShortName,NASDAQ
industry,Broadcasting
website,http://www.scripps.com
description,"The E.W.Scripps Co. engages in the television and newspaper publishing. The company is headquartered in Cincinnati, Ohio and currently employs 3,950 full-time employees. The firm's segments include television, radio, digital, and syndication and other. As of December 31, 2016, the Television segment included approximately 15 American Broadcasting Company (ABC) affiliates, five National Broadcasting Company (NBC) affiliates, two FOX affiliates, two Columbia Broadcasting System (CBS) affiliates and four non big-four affiliated stations. As of December 31, 2016, the radio segment owned 34 radio stations in eight markets. As of December 31, 2016, it operated 28 frequency modulation (FM) stations and six Amplitude Modulation (AM) stations. The digital segment includes the digital operations of its local television and radio businesses. Its Syndication and other segment primarily includes the syndication of news features and comics and other features for the newspaper industry."
ceo,Mr. Adam Symson
sector,Communication Services
country,US
fullTimeEmployees,5900
phone,15139773000
address,312 Walnut St
city,Cincinnati
state,OHIO
zip,45202
dcfDiff,
dcf,10.8179
image,https://financialmodelingprep.com/image-stock/SSP.png
ipoDate,1988-06-28
defaultImage,False
