,0
symbol,SSTI
price,29.15
beta,2.651748
volAvg,55327
mktCap,333528480
lastDiv,0.0
range,20.26-41.0
changes,-0.3
companyName,ShotSpotter Inc.
currency,USD
cik,0001351636
isin,
cusip,
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Software Application
website,http://www.shotspotter.com
description,
ceo,Mr. Ralph A. Clark
sector,Technology
country,United States
fullTimeEmployees,108
phone,510 794 3100
address,7979 Gateway Boulevard
city,Newark
state,CA
zip,94560
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/SSTI.jpg
ipoDate,
defaultImage,True
