,0
symbol,SXI
price,74.66
beta,1.34435
volAvg,59361
mktCap,924305790
lastDiv,0.8999999999999999
range,37.5-81.69
changes,1.93
companyName,Standex International Corp
currency,USD
cik,0000310354
isin,US8542311076
cusip,854231107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Specialty Industrial Machinery
website,http://www.standex.com/
description,"Standex International Corp. manufactures products and services for commercial and industrial markets. The company is headquartered in Salem, New Hampshire and currently employs 5,000 full-time employees. The firm is a manufacturer of a range of products and services for diverse commercial and industrial market segments. The firm operates in five segments: Food Service Equipment, Engraving, Engineering Technologies, Electronics and Hydraulics. The Food Service Equipment business consists of Refrigeration Solutions group and Specialty Solutions group. The Engraving segment's product lines include Mold-Tech and Innovent. The Engineering Technologies segment provides engineered parts in all workable metal alloys using various forming processes. The Electronics segment is a manufacturer of custom magnetic sensing and power conversion components and assemblies. The Hydraulics segment is a manufacturer of mobile hydraulic cylinders, including single or double acting telescopic, and piston rod hydraulic cylinders."
ceo,Mr. David Dunbar
sector,Industrials
country,US
fullTimeEmployees,5000
phone,16038939701
address,"23 KEEWAYDIN DRIVE, SUITE 300"
city,Salem
state,NEW HAMPSHIRE
zip,03079
dcfDiff,
dcf,72.8414
image,https://financialmodelingprep.com/image-stock/SXI.jpg
ipoDate,1980-03-17
defaultImage,True
