,0
symbol,SY
price,13.08
beta,0.0
volAvg,577743
mktCap,1393700100
lastDiv,0.0
range,8.03-16.06
changes,0.75
companyName,So-Young International Inc
currency,CNY
cik,0001758530
isin,US83356Q1085
cusip,83356Q108
exchange,NasdaqGM
exchangeShortName,NASDAQ
industry,Health Information Services
website,http://www.soyoung.com/
description,"So-Young International, Inc. engages in discovering, evaluating and reserving medical aesthetic services. The company is headquartered in Beijing, Beijing and currently employs 862 full-time employees. The firm operates through two segments: Information Services segment and Reservation Services segment."
ceo,Mr. Xing Jin
sector,Healthcare
country,CN
fullTimeEmployees,1218
phone,861057076564
address,
city,Beijing
state,BEIJING
zip,100102
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/SY.png
ipoDate,2019-05-02
defaultImage,False
