,0
symbol,TCOM
price,34.395
beta,1.28482
volAvg,4132687
mktCap,20398643200
lastDiv,0.0
range,20.1-38.95
changes,0.475
companyName,Trip.com Group Ltd
currency,CNY
cik,0001269238
isin,US89677Q1076
cusip,89677Q107
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Travel Services
website,http://www.ctrip.com
description,"Trip.com Group Ltd. engages in the provision of travel-related services. The company is headquartered in Shanghai, Shanghai and currently employs 45,100 full-time employees. The firm aggregates hotel and transportation information to help leisure and business travelers make reservations. The firm helps leisure travelers book travel packages and guided tours and helps corporate clients manage their travel needs. The firm also offers a range of travel-related services to meet the different booking and travel needs of leisure and business travelers, including visitor reviews, attraction tickets, travel-related financial services, car services, travel insurance services and passport services. The firm also offers package tours for independent leisure travelers, including tour groups, semi-tour groups and private groups, as well as package tours that require different transportation arrangements (such as cruise, buses or self-driving)."
ceo,Ms. Jie Sun
sector,Consumer Cyclical
country,CN
fullTimeEmployees,44300
phone,862134064880
address,No. 99 Fu Quan Road
city,Shanghai
state,SHANGHAI
zip,200335
dcfDiff,
dcf,946.647
image,https://financialmodelingprep.com/image-stock/TCOM.png
ipoDate,2003-12-09
defaultImage,False
