,0
symbol,TELL
price,1.005
beta,2.51697
volAvg,5274949
mktCap,332116320
lastDiv,0.0
range,0.67-8.69
changes,0.105
companyName,Tellurian Inc
currency,USD
cik,0000061398
isin,US87968A1043
cusip,87968A104
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Oil & Gas E&P
website,http://www.tellurianinc.com/
description,"Tellurian, Inc. engages in producing natural gas and investing in natural gas projects. The company is headquartered in Houston, Texas and currently employs 172 full-time employees. The firm focuses on the development of liquefied natural gas (LNG) projects along the United States Gulf Coast through its subsidiary, Tellurian Investments Inc. The firm owns interests in the Horse Hill-1 well and related licenses in the Weald Basin, onshore the United Kingdom, and an exploration block, NT/P82, in the Bonaparte Basin, offshore Northern Territory, Australia. The Horse Hill-1 well has identified prospects from the Portland sandstone and Kimmeridge Clay limestone formations."
ceo,Ms. Meg Gentle
sector,Energy
country,US
fullTimeEmployees,176
phone,18329624000
address,1201 Louisiana St Ste 3100
city,Houston
state,TEXAS
zip,77002
dcfDiff,-9.56
dcf,0.0
image,https://financialmodelingprep.com/image-stock/TELL.png
ipoDate,1988-08-03
defaultImage,False
