,0
symbol,TMUS
price,128.43
beta,0.34654
volAvg,3983818
mktCap,159406031000
lastDiv,0.0
range,63.5-128.435
changes,1.62
companyName,T-Mobile US Inc
currency,USD
cik,0001283699
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Telecom Services
website,https://www.t-mobile.com/
description,"T-Mobile US, Inc. engages in the provision of wireless communications services under the T-Mobile and MetroPCS brands. The company is headquartered in Bellevue, Washington and currently employs 52,000 full-time employees. As of December 31, 2016, the Company provided wireless communications services, including voice, messaging and data, to over 71 million customers in the postpaid, prepaid and wholesale markets. The company provides services, devices and accessories across its brands, T-Mobile and MetroPCS. The company provides wireless communication services through a range of service plan options. The firm offers a device trade-in program, Just Upgrade My Phone (JUMP! ), which provides customers a specified-price trade-in right to upgrade their device. The company offers a range of wireless devices, including handsets, tablets and other mobile communication devices, and accessories for sale, as well as financing through equipment installment plans (EIPs) and leasing through JUMP On Demand. The Company, through Layer3 TV provides television services that works on any device with an internet connection."
ceo,Mr. John Legere
sector,Communication Services
country,US
fullTimeEmployees,53000
phone,18003189270
address,12920 SE 38th St
city,Bellevue
state,WASHINGTON
zip,98006-1350
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/TMUS.png
ipoDate,2007-04-18
defaultImage,False
