,0
symbol,TPL
price,546.0
beta,2.01221
volAvg,19966
mktCap,4234863360
lastDiv,16.0
range,295.05-838.5
changes,8.78
companyName,Texas Pacific Land Trust
currency,USD
cik,0000097517
isin,US8826101086
cusip,882610108
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas E&P
website,http://www.tpltrust.com/
description,"Texas Pacific Land Trust engages in the provision of management of land. The company is headquartered in Dallas, Texas and currently employs 71 full-time employees. The firm operates through managing the land segment, which includes sales and leases of such land, and the retention of oil and gas royalties. The Trust derives revenue from all avenues of managing the land, such as oil and gas royalties, grazing leases, easements, sundry and specialty leases, and land sales. The Trust has a perpetual oil and gas royalty interest in 459,200 acres. As of December 31, 2016, the Trust owned the surface estate in approximately 887,553 acres of land, consisting of numerous separate tracts, located in 18 counties in the western part of Texas. As of December 31, 2016, the Trust also owned a 1/128 nonparticipating perpetual oil and gas royalty interest under 85,414 acres of land and a 1/16 nonparticipating perpetual oil and gas royalty interest under 373,777 acres of land in the western part of Texas."
ceo,Mr. Tyler Glover
sector,Energy
country,US
fullTimeEmployees,94
phone,12149695530
address,1700 Pacific Ave Ste 2900
city,Dallas
state,TEXAS
zip,75201
dcfDiff,1363.24
dcf,502.197
image,https://financialmodelingprep.com/image-stock/TPL.png
ipoDate,1980-03-17
defaultImage,False
