,0
symbol,UBFO
price,6.96
beta,0.68664
volAvg,25363
mktCap,118161312
lastDiv,0.44
range,5.04-10.92
changes,0.28
companyName,United Security Bancshares
currency,USD
cik,0001137547
isin,US9114601035
cusip,911460103
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,http://investors.unitedsecuritybank.com/CorporateProfile
description,"United Security Bancshares (California) is a holding company, which engages in the provision of commercial banking services. The company is headquartered in Fresno, California and currently employs 125 full-time employees. The Bank is a California state-chartered bank. The Bank operates in the segment of providing banking services to commercial establishments and individuals primarily in the San Joaquin Valley of California. The Bank offers a range of services for commercial customers and account holders, including online banking, mobile banking, safe deposit boxes, automated teller machine (ATM) services, payroll direct deposit, cashier's checks, traveler's checks, money orders and foreign drafts. The Bank offers a range of financial services, including wealth management, employee benefit, insurance and loan products, as well as consulting services. The company offers a range of deposit instruments, including personal and business checking accounts and savings accounts, interest-bearing negotiable order of withdrawal (NOW) accounts, money market accounts and time certificates of deposit."
ceo,Mr. Dennis Woods
sector,Financial Services
country,US
fullTimeEmployees,119
phone,15592484930
address,2126 Inyo St
city,Fresno
state,CALIFORNIA
zip,93721
dcfDiff,-10.51
dcf,18.9436
image,https://financialmodelingprep.com/image-stock/UBFO.png
ipoDate,1996-03-27
defaultImage,False
