,0
symbol,UNVR
price,17.36
beta,2.11915
volAvg,1865561
mktCap,2935576060
lastDiv,0.0
range,6.4-24.77
changes,0.51
companyName,Univar Solutions Inc
currency,USD
cik,0001494319
isin,US91336L1070
cusip,91336L107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Chemicals
website,https://www.univarsolutions.com/
description,"Univar Solutions, Inc. is a chemical and ingredients distributor and provider of specialty services. The company is headquartered in Downers Grove, Illinois and currently employs 8,500 full-time employees. The firm operates through four segments: Univar USA, Univar Canada, Univar Europe and the Middle East and Africa and Latin America. Its USA segment supplies a range of commodity and specialty chemicals, as well as services to a range of end markets, including manufacturing and industrial production sectors in the United States. Its Canadian operations are regionally focused, supplying a range of commodity and specialty chemicals to the local customer base. In Eastern Canada, it primarily focuses on industrial markets, such as food ingredients and products, pharmaceutical ingredients and finished products, coatings and adhesives, and chemical manufacturing. The company operates over 100 distribution facilities throughout North America, Western Europe, Asia-Pacific and Latin America."
ceo,Mr. David Jukes
sector,Basic Materials
country,US
fullTimeEmployees,10300
phone,13317776000
address,3075 Highland Pkwy Ste 200
city,Downers Grove
state,ILLINOIS
zip,60515
dcfDiff,
dcf,20.1728
image,https://financialmodelingprep.com/image-stock/UNVR.png
ipoDate,2015-06-18
defaultImage,False
