,0
symbol,UTG
price,34.33
beta,0.66175
volAvg,169833
mktCap,1765904380
lastDiv,2.1599999999999997
range,19.45-40.2
changes,0.53
companyName,Reaves Utility Income Fund
currency,USD
cik,
isin,US7561581015
cusip,756158101
exchange,NYSE American
exchangeShortName,AMEX
industry,Asset Management
website,http://www.utilityincomefund.com/
description,"Reaves Utility Income Fund (the Fund) is closed-end management investment company. The Fund's investment objective is to provide a high level of after-tax income and total return consisting primarily of tax-advantaged dividend income and capital appreciation. The Fund intends to invest approximately 80% of its total assets in dividend-paying common and preferred stocks and debt instruments of companies within the utility industry. Approximately 20% of its remaining assets may be invested in other securities, including stocks, money market instruments and debt instruments, as well as certain derivative instruments in the utility industry or other industries. The Fund invests in various sectors, including multi-utilities; electric utilities; telecommunication services; media; oil, gas and consumable fuels; real estate investment trusts; road and rail; wireless telecommunication services; food products, and gas utilities. Reaves Asset Management is the Fund's investment advisor."
ceo,
sector,Financial Services
country,US
fullTimeEmployees,0
phone,13036232577
address,PO Box 328
city,Denver
state,COLORADO
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/UTG.jpg
ipoDate,2004-02-25
defaultImage,True
