,0
symbol,VBF
price,19.97
beta,0.33358
volAvg,26126
mktCap,227390400
lastDiv,0.937
range,15.24-21.46
changes,0.12
companyName,Invesco Bond Fund
currency,USD
cik,
isin,US46132L1070
cusip,46132L107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,
description,"Invesco Bond Fund is a diversified, closed-end management investment company. The Fund's investment objective is to seek interest income while conserving capital. The Fund invests primarily in fixed-rate the United States investment-grade corporate bonds with flexibility to integrate approximately 20% of its total assets in non-investment-grade, the United States dollar denominated and non-United States dollar denominated securities of foreign issuers (both developed and emerging markets). The Fund also invests in government securities, asset-backed securities, commercial mortgage-backed securities and residential mortgage-backed securities. The Fund also invests in derivatives and other instruments that have similar economic characteristics to securities, in which it invests. Invesco Advisers, Inc. serves as the investment advisor of the Fund."
ceo,Sheri Morris
sector,Financial Services
country,US
fullTimeEmployees,
phone,14044393217
address,1555 Peachtree St NE Ste 1800
city,Atlanta
state,GEORGIA
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/VBF.jpg
ipoDate,1980-03-17
defaultImage,True
