,0
symbol,VNO
price,38.51
beta,1.30555
volAvg,2062286
mktCap,7365460500
lastDiv,4.33
range,27.64-68.68
changes,2.48
companyName,Vornado Realty Trust
currency,USD
cik,0000899689
isin,US9290421091
cusip,929042109
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Office
website,http://www.vno.com
description,"Vornado Realty Trust is a real estate investment trust. The company is headquartered in New York, New York and currently employs 3,928 full-time employees. The firm conducts its business through, and its interests in properties are held by, Vornado Realty L.P (the Operating Partnership). The company owns and operates office and retail properties with a concentration in the New York City metropolitan area. The company operates through two segments: New York and Other. The company also has a 32.4% interest in Alexander’s, Inc. (Alexander’s), which owns seven properties in the greater New York metropolitan area, as well as interests in other real estate and related investments. Its New York segment consists of 27.9 million square feet in 87 properties. Its Other segment consists of 3.7 million square foot theMART in Chicago, a 70% controlling interest in a three-building office complex containing 1.8 million square feet and a 25% in the Vornado Capital Partners Real Estate Fund (the Fund) and Crowne Plaza Times Square Hotel Joint Venture (the Crowne Plaza Joint Venture). The Fund has four investments."
ceo,Mr. Steven Roth
sector,Real Estate
country,US
fullTimeEmployees,4008
phone,12128947000
address,888 7th Ave
city,New York City
state,NEW YORK
zip,10019
dcfDiff,
dcf,35.1246
image,https://financialmodelingprep.com/image-stock/VNO.png
ipoDate,1962-01-31
defaultImage,False
