,0
symbol,VTR
price,50.1
beta,1.17046
volAvg,2697640
mktCap,18766006300
lastDiv,2.486
range,13.35-63.38
changes,2.35
companyName,Ventas Inc
currency,USD
cik,0000740260
isin,US92276F1003
cusip,92276F100
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Healthcare Facilities
website,https://www.ventasreit.com/
description,"Ventas, Inc. engages in the acquisition and ownership of seniors housing and healthcare properties. The company is headquartered in Chicago, Illinois and currently employs 500 full-time employees. The firm operates through three segments: triple-net leased properties, senior living operations and office operations. Under its triple-net leased properties segment, the Company invests in and owns seniors housing and healthcare properties throughout the United States and the United Kingdom and leases those properties to healthcare operating companies under triple-net or absolute-net leases that obligate the tenants to pay all property-related expenses. In its senior living operations segment, it invests in seniors housing communities throughout the United States and Canada and engages independent operators to manage those communities. In its office operations segment, the Company primarily acquires, owns, develops, leases and manages medical office buildings (MOBs) and life science and innovation centers throughout the United States."
ceo,Ms. Debra Cafaro
sector,Real Estate
country,US
fullTimeEmployees,516
phone,13126603800
address,353 N Clark St Ste 3300
city,Chicago
state,ILLINOIS
zip,60654
dcfDiff,354.04
dcf,41.4376
image,https://financialmodelingprep.com/image-stock/VTR.png
ipoDate,1992-04-02
defaultImage,False
