,0
symbol,WHLRP
price,10.21
beta,3.442664
volAvg,2449
mktCap,10306178
lastDiv,0.0
range,3.63-13.205
changes,-0.23
companyName,Wheeler Real Estate Investment Trust Inc. Preferred Stock
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,REIT Retail
website,http://www.whlr.us
description,
ceo,Mr. Daniel Dean Khoshaba
sector,Real Estate
country,United States
fullTimeEmployees,47
phone,757-627-9088
address,Riversedge North
city,Virginia Beach
state,VA
zip,23452
dcfDiff,-13.93
dcf,0.0
image,https://financialmodelingprep.com/image-stock/WHLRP.jpg
ipoDate,
defaultImage,True
