,0
symbol,WVVIP
price,5.6
beta,0.451096
volAvg,1040
mktCap,42745360
lastDiv,0.22
range,4.2-6.88
changes,0.0
companyName,Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Beverages Wineries & Distilleries
website,http://www.wvv.com
description,
ceo,Mr. James W. Bernau
sector,Consumer Defensive
country,United States
fullTimeEmployees,132
phone,503 588 9463
address,"8800 Enchanted Way, SE"
city,Turner
state,OR
zip,97392
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/WVVIP.jpg
ipoDate,
defaultImage,True
