,0
symbol,YNDX
price,62.11
beta,1.33703
volAvg,3420176
mktCap,21886570500
lastDiv,0.0
range,27.93-70.11
changes,1.12
companyName,Yandex NV
currency,RUB
cik,0001513845
isin,NL0009805522
cusip,N97284108
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Internet Content & Information
website,https://yandex.com/
description,"Yandex NV engages in the provision of search engines and online services. The company is headquartered in Schiphol, Noord-Holland and currently employs 9,588 full-time employees. The firm's segments include Search and Portal, E-commerce, Taxi, Classifieds and Experimental businesses. The firm's Search and Portal segment offers a range of services in Russia, Ukraine, Belarus and Kazakhstan, among which are search, location-based, personalized and mobile services, that enable the Company's users to find relevant and objective information to communicate and connect over the Internet, from both their desktops and mobile devices. The firm's search engine offers access to a range of information available online. The firm's Yandex.Market gives retailers a platform to reach customers seeking specific retailer, product or price information. As of December 31, 2016, Yandex.Taxi was operating in 46 cities across Russia, Georgia, Armenia, Kazakhstan, Belarus and Ukraine. The firm's Classifieds business unit includes Auto.ru, Yandex.Realty, Yandex.Jobs and Yandex.Travel."
ceo,Mr. Arkady Volozh
sector,Communication Services
country,NL
fullTimeEmployees,10425
phone,31202066970
address,Schiphol Boulevard 165
city,Schiphol
state,NOORD-HOLLAND
zip,1118 BG
dcfDiff,1757.01
dcf,267.826
image,https://financialmodelingprep.com/image-stock/YNDX.jpg
ipoDate,2011-05-01
defaultImage,True
