,0
symbol,ZEAL
price,37.09
beta,1.14481
volAvg,5353
mktCap,1455214980
lastDiv,0.0
range,22.0-44.6
changes,0.46
companyName,Zealand Pharma A/S
currency,USD
cik,
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://www.zealandpharma.com
description,
ceo,"Dr. Emmanuel Dulac Ph.D., PharmD, MBA"
sector,Healthcare
country,Denmark
fullTimeEmployees,191
phone,45 88 77 36 00
address,Sydmarken  11
city,Copenhagen
state,
zip,2860
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/ZEAL.jpg
ipoDate,
defaultImage,True
