,0
symbol,ZLAB
price,103.5
beta,1.388888
volAvg,382316
mktCap,1153652350
lastDiv,0.0
range,37.55-104.45
changes,4.5
companyName,Zai Lab Ltd
currency,USD
cik,0001704292
isin,US98887Q1040
cusip,98887Q104
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://www.zailaboratory.com/
description,"Zai Lab Ltd. is a biopharmaceutical company, which engages in the licensing, developing, and commercializing proprietary therapeutics that address areas of unmet medical need. The company is headquartered in Shanghai, Shanghai and currently employs 309 full-time employees. The firm is focused on discovering or licensing, developing and commercializing proprietary therapeutics that address areas of large unmet medical need in the China market, including in the fields of oncology, autoimmune and infectious diseases. The firm has a broad pipeline of proprietary drug candidates that range from discovery stage to late-stage clinical programs. These include three drug candidates with greater China rights and three drug candidates with global rights. The greater China rights drug candidates include Niraparib (ZL-2306), Omadacycline (ZL-2401) and ZL-2301. The global rights drug candidates include Fugan (ZL-3101), ZL-2302 and ZL-1101."
ceo,Dr. Ying Du
sector,Healthcare
country,CN
fullTimeEmployees,692
phone,862161632588
address,"4560 Jinke Road, Bldg. 1, 4F, Pudong"
city,Shanghai
state,SHANGHAI
zip,201210
dcfDiff,-29.0
dcf,90.0948
image,https://financialmodelingprep.com/image-stock/ZLAB.jpg
ipoDate,2017-09-20
defaultImage,True
