,0
symbol,ZTS
price,165.78
beta,0.71197
volAvg,1645823
mktCap,78789927000
lastDiv,0.8
range,90.14-176.64
changes,0.59
companyName,Zoetis Inc
currency,USD
cik,0001555280
isin,US98978V1035
cusip,98978V103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Drug Manufacturers General Specialty & Generic
website,https://www.zoetis.com/
description,"Zoetis, Inc. discovers, develops and manufactures a portfolio of animal health medicines and vaccines. The company is headquartered in Parsippany, New Jersey and currently employs 10,000 full-time employees. The firm has a business, commercializing products across eight core species: cattle, swine, poultry, sheep and fish (collectively, livestock) and dogs, cats and horses (collectively, companion animals), and within five product categories: anti-infectives, vaccines, parasiticides, medicated feed additives and other pharmaceuticals. The firm's segments include the United States and International. Within each of these operating segments, it offers a product portfolio for both livestock and companion animal customers. Its livestock products include Ceftiofur injectable line, Draxxin, Spectramast, Bovi-Shield line, Rispoval line, Suvaxyn/Fostera, Embrex devices and Lutalyse. Its companion animal products include Clavamox/Synulox, Convenia, ProHeart, Revolution/Stronghold, Apoquel, Cerenia and Rimadyl."
ceo,Mr. Juan Alaix
sector,Healthcare
country,US
fullTimeEmployees,10600
phone,19738227000
address,10 Sylvan Way
city,Parsippany
state,NEW JERSEY
zip,07054
dcfDiff,-63.25
dcf,165.194
image,https://financialmodelingprep.com/image-stock/ZTS.png
ipoDate,2013-02-01
defaultImage,False
